,Cluster Name,Keyword,#,Country,Difficulty,Volume,CPC,CPS,Parent Keyword,Last Update,SERP Features,Global volume,Traffic potential
1521,100 mile socks,thousand mile socks,1522,gb,0.0,300,0.4,1.22,1000 mile socks,2022-01-21 11:05:09,"Sitelinks,People also ask,Top stories,Videos,Adwords bottom",450,3000.0
2392,100% bamboo socks,100 percent cotton socks,2393,gb,0.0,200,0.4,1.22,100 cotton socks,2022-01-18 09:40:41,"People also ask,Sitelinks",1700,2100.0
954,100% bamboo socks,100% bamboo socks,955,gb,3.0,500,,0.95,bamboo socks,2022-01-18 15:21:03,"People also ask,Sitelinks",600,3300.0
691,100% bamboo socks,100% cotton socks,692,gb,0.0,700,,1.53,100 cotton socks,2022-01-21 14:02:36,"People also ask,Sitelinks,Image pack",4300,2100.0
2758,100% bamboo socks,elle bamboo socks,2759,gb,0.0,150,0.45,1.41,elle bamboo socks,2022-01-21 17:59:32,"Sitelinks,People also ask,Image pack",150,70.0
2573,100% bamboo socks,pringle bamboo socks,2574,gb,0.0,200,0.5,1.5,pringle bamboo socks,2022-01-16 17:44:12,"Sitelinks,People also ask,Image pack",200,90.0
1121,100% bamboo socks,sock shop bamboo socks,1122,gb,3.0,450,0.3,1.0,bamboo socks,2022-01-08 15:29:56,"Sitelinks,People also ask",500,3300.0
2710,abpop socks,ab pop socks review,2711,gb,0.0,150,,,abpop socks,2021-12-30 07:57:14,Sitelinks,150,40.0
1610,abpop socks,abpop socks,1611,gb,0.0,300,,,abpop socks,2022-01-12 15:42:36,Sitelinks,300,150.0
3543,absorbent socks,absorbent socks,3544,gb,0.0,150,2.0,,absorbent socks,2022-01-17 21:58:28,"People also ask,Sitelinks,Image pack,Top stories,Videos",1200,50.0
2257,absorbent socks,palm angel socks,2258,gb,0.0,200,,,palm angels socks,2022-01-08 08:37:42,"Sitelinks,Image pack",800,350.0
584,absorbent socks,palm angels socks,585,gb,0.0,800,,,palm angels socks,2022-01-19 18:52:36,Image pack,2500,350.0
1792,absorbent socks,rechargeable heated socks,1793,gb,10.0,250,0.4,1.17,heating socks,2022-01-19 00:41:47,"Sitelinks,People also ask,Top stories,Videos,Image pack",1500,3600.0
538,acqua socks,acqua socks,539,gb,0.0,800,,,aqua so ks,2022-01-17 15:55:58,"Sitelinks,People also ask,Top stories,Videos,Image pack",1700,700.0
2783,acqua socks,dsquared socks,2784,gb,0.0,150,,,dsquared socks,2022-01-12 21:21:04,"Sitelinks,Image pack",150,80.0
1743,acqua socks,rubber socks,1744,gb,0.0,300,0.5,1.17,rubber socks,2022-01-15 15:19:02,"Sitelinks,Image pack,People also ask,Top stories,Videos",1700,200.0
3115,acqua socks,rubber sole socks,3116,gb,0.0,150,0.5,,rubber socks,2022-01-08 08:32:19,"Sitelinks,Image pack",1300,200.0
4720,adidas golf socks,adidas cushioned socks,4721,gb,0.0,100,0.5,,adidas cushion crew socks,2021-12-31 01:12:36,"People also ask,Top stories,Videos,Image pack",300,200.0
2643,adidas golf socks,adidas golf socks,2644,gb,0.0,200,0.7,,adidas golf socks,2022-01-02 16:46:49,"Sitelinks,Image pack",450,90.0
1006,adidas golf socks,adidas originals socks,1007,gb,0.0,500,0.5,0.88,adidas originals socks,2022-01-23 07:52:33,"Sitelinks,Image pack",2200,300.0
2382,adidas golf socks,adidas trefoil socks,2383,gb,0.0,200,0.8,,adidas trefoil socks,2022-01-23 07:44:57,"Sitelinks,People also ask,Image pack",700,60.0
4401,adidas golf socks,blue adidas socks,4402,gb,0.0,100,0.5,,navy adidas socks,2022-01-03 06:21:05,"Shopping results,Thumbnails,Sitelinks,Image pack",350,40.0
1896,adidas socks,adidas alphaskin socks,1897,gb,0.0,250,,,adidas alphaskin socks,2021-12-31 04:14:50,"Sitelinks,Image pack",800,80.0
468,adidas socks,adidas ankle socks,469,gb,0.0,900,0.5,0.76,adidas ankle socks,2022-01-21 11:04:47,"Sitelinks,People also ask,Image pack",3200,350.0
3536,adidas socks,adidas ankle socks womens,3537,gb,0.0,150,,,womens adidas socks,2021-12-30 10:50:46,"Sitelinks,Image pack",400,2000.0
4011,adidas socks,adidas black socks,4012,gb,0.0,100,0.6,0.77,black adidas socks,2022-01-23 01:50:39,"Sitelinks,Image pack",300,450.0
341,adidas socks,adidas crew socks,342,gb,0.0,1200,0.5,1.18,adidas crew socks,2022-01-21 11:10:03,"Sitelinks,People also ask,Image pack",5300,700.0
4471,adidas socks,adidas crew socks black,4472,gb,0.0,100,0.6,,black adidas socks,2022-01-15 09:40:32,"Sitelinks,Image pack",300,450.0
2488,adidas socks,adidas crew socks mens,2489,gb,0.0,200,,,mens adidas socks,2021-12-30 22:40:30,"Sitelinks,Image pack",200,500.0
2784,adidas socks,adidas crew socks white,2785,gb,0.0,150,0.45,,white adidas socks,2022-01-16 07:03:58,"Sitelinks,Image pack",300,300.0
4424,adidas socks,adidas crew socks women's,4425,gb,0.0,100,,,adidas socks women,2022-01-20 11:25:04,"Sitelinks,Image pack",150,500.0
4465,adidas socks,adidas crew socks womens,4466,gb,0.0,100,,,adidas socks women,2022-01-12 01:20:19,"Sitelinks,Image pack",800,450.0
2095,adidas socks,adidas cushion crew socks,2096,gb,0.0,250,,,adidas cushion crew socks,2021-12-31 03:59:29,"Shopping results,Thumbnails,Sitelinks,Top stories,Videos,Image pack",300,200.0
532,adidas socks,adidas football socks,533,gb,1.0,800,0.7,1.14,adidas football socks,2022-01-23 07:29:09,"Sitelinks,People also ask,Image pack",2300,800.0
3664,adidas socks,adidas grey socks,3665,gb,0.0,150,,,adidas grey socks,2021-12-29 22:27:06,"Sitelinks,Image pack",200,50.0
2425,adidas socks,adidas grip socks,2426,gb,1.0,200,0.25,,adidas grip socks,2022-01-04 05:18:09,"Sitelinks,People also ask,Image pack",450,60.0
2523,adidas socks,adidas ladies socks,2524,gb,0.0,200,,,womens adidas socks,2022-01-01 23:36:36,"Shopping results,Thumbnails,Sitelinks,Image pack",200,2000.0
2529,adidas socks,adidas long socks,2530,gb,1.0,200,0.7,,adidas socks,2022-01-05 22:47:57,"Sitelinks,Shopping results,Thumbnails",1300,7300.0
1088,adidas socks,adidas mens socks,1089,gb,0.0,450,,,adidas socks,2022-01-12 09:26:17,"Sitelinks,Image pack",1600,7400.0
2215,adidas socks,adidas mid cut crew socks,2216,gb,0.0,200,,,adidas mid cut crew socks,2021-12-31 03:39:51,Image pack,700,200.0
4249,adidas socks,adidas original crew socks,4250,gb,0.0,100,,,adidas crew socks,2022-01-08 21:48:14,"Sitelinks,Image pack,Top stories,Videos",150,600.0
4802,adidas socks,adidas original socks,4803,gb,0.0,100,0.7,,adidas originals socks,2022-01-06 06:36:36,"Sitelinks,Image pack",900,300.0
1341,adidas socks,adidas running socks,1342,gb,0.0,350,0.7,0.97,adidas running socks,2022-01-22 18:15:26,"Sitelinks,People also ask,Image pack",1200,300.0
4234,adidas socks,adidas sleeve socks,4235,gb,0.0,100,,,sleeve socks,2022-01-09 20:42:00,"Sitelinks,Image pack",150,250.0
11,adidas socks,adidas socks,12,gb,0.0,12000,0.6,0.79,adidas socks,2022-01-23 04:53:15,"Sitelinks,Image pack",48000,7300.0
3670,adidas socks,adidas socks for men,3671,gb,0.0,150,,,adidas socks,2022-01-11 14:13:17,"Sitelinks,Image pack",250,7400.0
715,adidas socks,adidas socks kids,716,gb,0.0,600,,,adidas socks kids,2022-01-21 18:53:16,"Sitelinks,Image pack",700,600.0
185,adidas socks,adidas socks mens,186,gb,0.0,2100,0.6,0.72,adidas socks,2022-01-22 07:42:53,"Sitelinks,Image pack",4100,6900.0
4474,adidas socks,adidas socks sale,4475,gb,0.0,100,0.8,,adidas socks sale,2022-01-12 23:17:35,"Sitelinks,Image pack",250,60.0
343,adidas socks,adidas socks trainers,344,gb,0.0,1200,,,adidas socks trainers,2022-01-21 20:27:31,"Image pack,Sitelinks",1200,1500.0
280,adidas socks,adidas socks women,281,gb,0.0,1500,,,adidas socks women,2022-01-23 13:11:06,"Sitelinks,Image pack",2000,1600.0
3235,adidas socks,adidas socks womens,3236,gb,0.0,150,0.8,,adidas socks women,2022-01-10 18:10:39,"Sitelinks,Image pack",2000,1700.0
3036,adidas socks,adidas spezial socks,3037,gb,0.0,150,,,adidas spezial socks,2022-01-12 00:37:12,"Image pack,Sitelinks",150,20.0
852,adidas socks,adidas sports socks,853,gb,0.0,600,0.6,1.12,adidas socks,2022-01-23 01:57:35,"Sitelinks,Image pack",800,7300.0
4879,adidas socks,adidas tennis socks,4880,gb,0.0,100,0.45,,tennis socks,2022-01-20 11:40:54,"Shopping results,Thumbnails,Sitelinks,Image pack",450,100.0
603,adidas socks,adidas trainer socks,604,gb,0.0,800,0.6,1.16,adidas trainer socks,2022-01-21 16:02:17,"Shopping results,Thumbnails,Sitelinks,Image pack",800,300.0
2280,adidas socks,adidas trainer socks mens,2281,gb,0.0,200,0.8,,mens ankle socks,2022-01-14 14:05:56,"Sitelinks,Image pack",200,400.0
4243,adidas socks,adidas trainer socks womens,4244,gb,0.0,100,,,womens adidas socks,2022-01-01 14:14:22,"Sitelinks,Image pack",100,2000.0
602,adidas socks,adidas white socks,603,gb,0.0,800,0.5,0.86,adidas white socks,2022-01-20 21:02:59,"Sitelinks,Image pack",1800,700.0
2776,adidas socks,adidas white socks mens,2777,gb,0.0,150,,,adidas white socks,2021-12-30 07:26:17,"Sitelinks,Image pack",200,900.0
4055,adidas socks,adidas white sports socks,4056,gb,0.0,100,0.6,,adidas white socks,2021-12-31 00:58:31,"Sitelinks,Image pack",100,900.0
2904,adidas socks,adidas womens socks,2905,gb,0.0,150,,,adidas socks women,2022-01-12 13:20:54,"Sitelinks,Image pack",1200,1600.0
662,adidas socks,black adidas socks,663,gb,0.0,700,0.6,1.03,black adidas socks,2022-01-23 13:34:38,Sitelinks,2000,450.0
3008,adidas socks,black trainer socks womens,3009,gb,0.0,150,,,black trainer socks,2021-12-31 18:36:09,Sitelinks,150,400.0
2293,adidas socks,designer socks womens,2294,gb,1.0,200,0.7,,designer socks women,2022-01-22 06:54:17,Sitelinks,450,600.0
582,adidas socks,girls trainer socks,583,gb,0.0,800,0.6,1.38,girls trainer socks,2022-01-21 01:18:07,,800,500.0
4091,adidas socks,grey adidas socks,4092,gb,0.0,100,0.5,,grey adidas socks,2022-01-21 16:40:05,"Sitelinks,Image pack",250,40.0
2833,adidas socks,junior adidas socks,2834,gb,0.0,150,,,adidas socks kids,2021-12-30 15:15:50,"Sitelinks,Image pack",150,600.0
2525,adidas socks,ladies adidas socks,2526,gb,0.0,200,0.8,,adidas socks women,2022-01-13 14:01:52,"Sitelinks,Image pack",200,1600.0
819,adidas socks,ladies nike socks,820,gb,0.0,600,,,nike socks women,2022-01-18 16:56:08,"Sitelinks,Image pack",800,13000.0
3570,adidas socks,ladies nike trainer socks,3571,gb,1.0,150,,,nike socks women,2021-12-31 15:51:53,"Sitelinks,Image pack",150,12000.0
389,adidas socks,ladies trainer socks,390,gb,3.0,1100,0.7,1.02,trainer socks womens,2022-01-21 12:50:03,"Sitelinks,Image pack",1200,2900.0
4120,adidas socks,long nike socks womens,4121,gb,1.0,100,,,nike socks women,2022-01-12 14:25:53,"Sitelinks,Image pack",100,12000.0
218,adidas socks,mens adidas socks,219,gb,0.0,1800,0.45,0.84,adidas socks,2022-01-22 07:42:10,"Sitelinks,Image pack",4500,6900.0
887,adidas socks,mens nike trainer socks,888,gb,0.0,500,,,nike trainer socks,2022-01-19 23:43:36,"Sitelinks,Image pack",500,1700.0
1169,adidas socks,nike crew socks women's,1170,gb,1.0,400,,,nike socks women,2022-01-13 10:52:45,"Sitelinks,Image pack",1100,12000.0
1205,adidas socks,nike crew socks womens,1206,gb,1.0,400,,,nike socks women,2022-01-02 21:31:08,"Shopping results,Thumbnails,Sitelinks,Image pack",3100,12000.0
2989,adidas socks,nike quarter socks womens,2990,gb,1.0,150,,,nike socks women,2022-01-12 14:58:11,"Sitelinks,Image pack",350,12000.0
31,adidas socks,nike socks women,32,gb,2.0,8600,0.8,,nike socks women,2022-01-23 04:10:20,"Sitelinks,Image pack",21000,12000.0
36,adidas socks,nike socks women's,37,gb,0.0,7800,,,nike socks women,2022-01-21 14:20:22,Sitelinks,10000,12000.0
735,adidas socks,nike socks womens,736,gb,1.0,600,0.7,1.18,nike socks women,2022-01-22 13:38:01,"Sitelinks,Image pack",3600,12000.0
3278,adidas socks,nike socks womens outfit,3279,gb,0.0,150,,,nike socks women,2022-01-09 10:25:23,"Sitelinks,Image pack",450,12000.0
86,adidas socks,nike trainer socks,87,gb,0.0,3600,0.5,0.91,nike trainer socks,2022-01-22 08:51:23,"Sitelinks,Image pack",3700,1700.0
869,adidas socks,nike trainer socks mens,870,gb,2.0,500,0.7,,nike trainer socks,2022-01-22 16:04:37,"Sitelinks,People also ask,Image pack",500,1700.0
309,adidas socks,nike trainer socks womens,310,gb,1.0,1300,,1.04,nike socks women,2022-01-19 01:31:35,"Image pack,Sitelinks",1300,13000.0
4554,adidas socks,nike white socks womens,4555,gb,0.0,100,,,nike socks women,2022-01-12 12:07:28,"Shopping results,Thumbnails,Sitelinks,Image pack",150,12000.0
1411,adidas socks,nike womens socks,1412,gb,1.0,350,0.7,,nike socks women,2022-01-09 17:39:48,"Sitelinks,Image pack",12000,12000.0
1835,adidas socks,trainer socks women,1836,gb,5.0,250,0.8,,womens trainer socks,2022-01-08 06:28:36,"Sitelinks,Image pack",300,2800.0
128,adidas socks,trainer socks womens,129,gb,5.0,2700,0.9,1.03,trainer socks womens,2022-01-22 16:36:44,"People also ask,Image pack",2800,2900.0
4048,adidas socks,trainers socks womens,4049,gb,2.0,100,,,womens trainer socks,2022-01-11 17:55:37,"Sitelinks,People also ask",150,2900.0
535,adidas socks,white adidas socks,536,gb,0.0,800,0.5,1.0,white adidas socks,2022-01-20 08:49:14,"Sitelinks,Image pack",2100,90.0
4544,adidas socks,white adidas socks mens,4545,gb,0.0,100,,,adidas white socks,2022-01-23 17:21:53,"Sitelinks,Image pack",100,800.0
1074,adidas socks,white nike socks womens,1075,gb,0.0,450,,,nike socks women,2022-01-03 20:46:48,"Sitelinks,Image pack",2100,12000.0
3548,adidas socks,white trainer socks womens,3549,gb,1.0,150,,,trainer socks white,2021-12-29 22:29:19,"Sitelinks,Image pack",150,900.0
1198,adidas socks,women nike socks,1199,gb,0.0,400,0.3,,nike socks women,2022-01-09 09:42:43,"Sitelinks,Image pack",900,12000.0
3692,adidas socks,women trainer socks,3693,gb,3.0,150,,,womens trainer socks,2022-01-09 05:02:50,"Sitelinks,Image pack",150,2900.0
2910,adidas socks,women's trainer socks,2911,gb,5.0,150,,,womens trainer socks,2022-01-19 12:01:09,"Sitelinks,Image pack",200,2700.0
1270,adidas socks,womens adidas socks,1271,gb,0.0,400,0.4,,womens adidas socks,2022-01-04 00:22:15,"Sitelinks,Image pack",1200,2100.0
4042,adidas socks,womens adidas trainer socks,4043,gb,0.0,100,,,womens adidas socks,2022-01-01 00:46:27,"Sitelinks,Image pack,Adwords bottom",100,2000.0
2414,adidas socks,womens black trainer socks,2415,gb,0.0,200,1.9,,black trainer socks,2022-01-02 04:48:40,"Sitelinks,Image pack",200,400.0
112,adidas socks,womens nike socks,113,gb,0.0,3000,0.8,,nike socks women,2022-01-23 05:00:38,Image pack,6600,12000.0
108,adidas socks,womens trainer socks,109,gb,3.0,3000,0.7,1.16,trainer socks womens,2022-01-22 18:22:20,"Sitelinks,Image pack",3100,2900.0
4131,adidas socks,womens trainer socks uk,4132,gb,5.0,100,,,womens trainer socks,2022-01-08 01:21:15,"Sitelinks,People also ask,Image pack",100,2800.0
2042,adidas socks,womens white trainer socks,2043,gb,1.0,250,,,trainer socks white,2021-12-30 08:00:41,"Sitelinks,Image pack",300,900.0
4317,advent calendar socks,12 days of socks advent calendar,4318,gb,1.0,100,,,sock advent calendar,2022-01-11 01:36:20,"Sitelinks,People also ask",250,1600.0
2020,advent calendar socks,advent calendar socks,2021,gb,6.0,250,,,sock advent calendar,2021-12-30 02:03:27,"Sitelinks,Image pack",700,2400.0
2177,advent calendar socks,disney socks advent calendar,2178,gb,0.0,200,,,sock advent calendar,2022-01-10 21:35:49,"Sitelinks,Image pack",200,150.0
1207,advent calendar socks,happy socks advent calendar,1208,gb,0.0,400,,1.07,happy socks advent calendar,2022-01-01 06:09:33,"Shopping results,Thumbnails,Sitelinks,Image pack",600,300.0
2800,advent calendar socks,happy socks advent calendar 2020,2801,gb,7.0,150,,,happy socks advent calendar 2020,2022-01-02 01:26:20,"Sitelinks,Image pack,Top stories,Videos",200,100.0
843,advent calendar socks,socks advent calendar,844,gb,4.0,600,,1.19,sock advent calendar,2022-01-16 13:52:25,"Sitelinks,Image pack",1500,1600.0
1005,advent calendar socks,socks advent calendar uk,1006,gb,0.0,500,,,sock advent calendar,2022-01-18 18:28:08,"Sitelinks,Image pack",500,1800.0
1083,aero socks,aero socks,1084,gb,1.0,450,0.8,1.17,aerodynamic socks,2021-12-28 19:18:08,"People also ask,Sitelinks,Image pack,Top stories,Videos",1600,300.0
1378,aero socks,aerodynamic socks,1379,gb,1.0,350,,,aero socks,2021-12-30 03:21:47,"People also ask,Sitelinks,Image pack,Top stories,Videos",450,400.0
1016,aero socks,air jordan socks,1017,gb,0.0,450,0.6,,jordan socks,2021-12-30 18:10:19,"Sitelinks,Image pack",1600,700.0
3937,aero socks,airplane socks,3938,gb,0.0,100,0.5,0.68,airplane socks,2022-01-03 11:13:24,"Sitelinks,Image pack",600,40.0
4572,aero socks,plane socks,4573,gb,0.0,100,0.15,0.48,aeroplane socks,2022-01-01 21:20:35,"Shopping results,Thumbnails,Sitelinks,Image pack",250,40.0
4213,amazon socks,amazon compression socks,4214,gb,1.0,100,0.45,0.91,amazon compression socks,2021-12-31 01:49:55,"People also ask,Sitelinks,Image pack",3700,10.0
2436,amazon socks,amazon flight socks,2437,gb,0.0,200,,0.89,flight socks,2022-01-05 01:57:25,"People also ask,Sitelinks,Image pack",200,300.0
1087,amazon socks,amazon slipper socks,1088,gb,0.0,450,0.45,0.92,amazon slipper socks,2022-01-20 05:02:57,"People also ask,Sitelinks,Image pack",500,150.0
1183,amazon socks,amazon socks,1184,gb,1.0,400,0.2,0.82,amazon socks,2022-01-01 03:54:01,"Sitelinks,Image pack",3100,600.0
4980,amazon socks,hiking socks amazon,4981,gb,0.0,90,0.4,,trekking socks,2022-01-22 08:51:16,"People also ask,Sitelinks,Image pack",450,250.0
4672,amazon socks,huf socks amazon,4673,gb,0.0,100,0.45,,huf socks amazon,2022-01-18 08:30:13,"Sitelinks,Image pack",200,100.0
2589,amazon socks,men's socks amazon,2590,gb,0.0,200,0.45,,mens socks uk,2022-01-21 02:36:07,Image pack,350,4100.0
2732,amazon socks,socks amazon,2733,gb,0.0,150,0.3,0.85,amazon socks,2022-01-03 09:17:21,"Sitelinks,Image pack",900,500.0
1258,anonymous ism socks,anonymous ism socks,1259,gb,1.0,400,0.8,1.98,anonymous ism socks,2022-01-01 09:10:35,"Sitelinks,Image pack",1300,800.0
3196,anonymous ism socks,anonymous ism socks uk,3197,gb,0.0,150,0.45,,anonymous ism socks,2022-01-14 20:43:33,"Sitelinks,Image pack",150,250.0
1522,anti slip socks,anti slip football socks,1523,gb,0.0,300,,,anti slip football socks,2022-01-21 14:41:47,"Sitelinks,People also ask,Top stories,Videos,Image pack",350,300.0
565,anti slip socks,anti slip socks,566,gb,0.0,800,0.6,0.9,non slip socks,2022-01-21 15:21:57,"Sitelinks,People also ask,Top stories,Videos,Image pack",3800,1100.0
3730,anti slip socks,non slip socks tesco,3731,gb,0.0,100,,,non slip socks tesco,2022-01-08 23:09:41,"Sitelinks,Image pack",100,20.0
778,anti slip socks,ugg slipper socks,779,gb,0.0,600,0.7,,ugg slipper socks,2022-01-21 19:50:58,"Sitelinks,Image pack",2100,250.0
386,argyle socks,argyle socks,387,gb,0.0,1100,0.8,0.58,argyle socks,2022-01-20 16:07:37,"People also ask,Sitelinks,Image pack",8900,400.0
3190,argyle socks,argyle socks mens,3191,gb,0.0,150,1.3,,mens argyle socks,2021-12-31 06:41:57,"Shopping results,Thumbnails,Sitelinks,Image pack",400,300.0
4527,argyle socks,argyle socks women's,4528,gb,0.0,100,,,argyle socks women's,2022-01-10 21:22:31,Sitelinks,150,80.0
1412,argyle socks,best dad socks,1413,gb,0.0,350,0.8,,dad socks,2022-01-19 22:43:28,"Sitelinks,Image pack",450,1200.0
4280,argyle socks,best mum socks,4281,gb,0.0,100,0.9,,mummy socks,2022-01-21 14:54:07,"Sitelinks,Image pack",100,70.0
605,argyle socks,fathers day socks,606,gb,0.0,700,0.7,1.35,fathers day socks,2022-01-17 12:04:39,"Sitelinks,Image pack",1600,300.0
4969,argyle socks,funny socks for dad,4970,gb,0.0,90,,,dad socks,2022-01-12 20:13:49,"Sitelinks,Image pack",200,1200.0
2665,argyle socks,mens argyle socks,2666,gb,0.0,200,0.9,,mens argyle socks,2022-01-22 20:03:53,"Sitelinks,People also ask,Image pack",900,200.0
2463,ariat socks,ariana grande socks,2464,gb,0.0,200,0.0,0.67,ariana grande socks,2022-01-20 06:50:44,Sitelinks,900,10.0
4099,ariat socks,ariat riding socks,4100,gb,0.0,100,,,ariat riding socks,2022-01-09 09:06:01,"Sitelinks,Image pack",150,40.0
1839,ariat socks,ariat socks,1840,gb,0.0,250,0.45,,ariat socks,2022-01-16 21:17:38,"Sitelinks,Image pack",600,90.0
1902,army socks,army socks,1903,gb,1.0,250,0.3,1.33,army socks,2022-01-22 15:04:50,"People also ask,Sitelinks",1300,250.0
4903,army socks,british army socks,4904,gb,1.0,100,0.25,1.58,army socks,2021-12-30 02:02:40,"People also ask,Sitelinks,Image pack",100,200.0
4046,army socks,camouflage socks,4047,gb,0.0,100,0.5,,camo socks,2022-01-04 21:17:39,"Sitelinks,Image pack",700,80.0
3276,army socks,military socks,3277,gb,1.0,150,0.4,0.95,army socks,2022-01-09 08:19:33,"People also ask,Sitelinks,Top stories,Videos,Image pack",1000,250.0
2805,army socks,navy ankle socks,2806,gb,0.0,150,0.4,,navy trainer socks,2022-01-02 22:23:07,"Sitelinks,Image pack",250,200.0
3886,arsenal away socks,arsenal away socks,3887,gb,10.0,100,0.4,,arsenal away kit,2022-01-04 11:04:52,"Sitelinks,Image pack,Top stories,Videos",150,9200.0
4676,arsenal away socks,arsenal football socks,4677,gb,0.0,100,0.5,,arsenal socks,2022-01-09 05:49:53,"Sitelinks,Image pack",150,200.0
4077,arsenal away socks,england away socks,4078,gb,0.0,100,0.4,,england away socks junior,2021-12-30 17:18:38,"Sitelinks,Shopping results,Thumbnails,Image pack",100,100.0
2825,asda flight socks,asda flight socks,2826,gb,14.0,150,0.4,1.25,flight socks asda,2022-01-14 04:46:04,"Sitelinks,People also ask,Image pack",150,400.0
1206,asda flight socks,boots flight socks,1207,gb,1.0,400,0.3,1.15,flight socks,2022-01-16 21:06:13,"People also ask,Image pack",450,2000.0
4238,asda flight socks,flight socks argos,4239,gb,1.0,100,0.35,1.23,flight socks argos,2022-01-13 22:59:49,"Sitelinks,Image pack",150,100.0
1377,asda flight socks,flight socks asda,1378,gb,3.0,350,0.45,1.11,flight socks asda,2022-01-06 19:06:51,"Sitelinks,People also ask,Image pack",350,350.0
